#accession	taxid
NC_004928	12353
NC_005056	103216
NC_005066	50948
NC_005083	75320
NC_005135	115987
NC_005260	227470
NC_005263	244310
NC_005282	77775
NC_005294	12402
NC_005340	12407
NC_005342	260373
NC_005856	10678
NC_005880	221915
NC_005882	264729
NC_005886	279530
NC_006565	298338
NC_006820	238854
NC_006883	268746
NC_006884	268747
NC_007021	55510
NC_009452	437444
NC_028787	1732174
NC_028938	1732173
NC_006268	285013
NC_007409	315953
NC_020077	1123964
NC_029316	1797140
NC_000867	10661
segmentsphi12	NA
segmentsphi13	NA
segmentsphi2954	NA
segmentsphi6	NA
segmentsphi8	NA
segmentsphiNN	NA
NC_001338	244589
NC_005265	244590
NC_005360	256994
NC_005361	248496
NC_009986	459290
NC_011217	459291
NC_013585	693629
NC_013587	693627
NC_013588	693628
NC_020882	1298531
NC_028256	1032474
AB012574	127511
AB334720	10863
AB334721	10863
AB572858	867695
AB931172	1497850
AB981170	1530086
AF452449	180503
GQ153919	10863
HG315669	1346893
J02448	10863
JF719732	10863
JF719733	10863
JF719734	10863
KR063267	689414
KR063268	689414
KT728930	689414
KT728931	689414
LC066596	1685501
NC_001270	93224
NC_001331	10871
NC_001332	10869
NC_001365	10854
NC_001418	10872
NC_001954	10868
NC_001956	83201
NC_002014	10867
NC_002362	127507
NC_002363	127508
NC_003287	10870
NC_003327	181604
NC_003793	185959
NC_004306	70203
NC_004736	223524
NC_005131	247080
NC_005948	127509
NC_006294	292443
NC_008574	384359
NC_008575	384360
NC_009987	455649
NC_011399	520962
NC_012757	642111
NC_015209	141904
NC_015297	926543
NC_015586	1027253
NC_016162	1105327
NC_019548	1150992
NC_021562	1340745
NC_021569	1343494
NC_021862	1352227
NC_025454	1505528
NC_025824	10864
AF059242	75723
AF059243	75725
AF227250	12021
JQ966307	12022
NC_001417	329852
NC_001426	329853
NC_001628	12023
NC_001890	39803
NC_004301	329855
NC_008294	12024
NC_019707	1235640
NC_019920	1206313
NC_019922	1206300
NC_028902	39804
X03869	12018
NC_003214	176106
NC_005830	235266
NC_009884	300186
NC_010152	346882
NC_010153	346883
NC_010154	346884
NC_010155	346881
NC_010537	512792
AF274751	10844
AY751298	310953
DQ079870	338101
DQ079871	338102
DQ079872	338103
DQ079873	384643
DQ079874	338105
DQ079875	338106
DQ079876	338107
DQ079877	338108
DQ079878	338109
DQ079879	338110
DQ079880	338111
DQ079881	338112
DQ079882	338113
DQ079883	338114
DQ079884	338115
DQ079885	338116
DQ079886	338117
DQ079887	338118
DQ079888	338119
DQ079889	338120
DQ079890	338121
DQ079891	338122
DQ079892	338123
DQ079893	338124
DQ079894	338125
DQ079895	338126
DQ079896	338127
DQ079897	338128
DQ079898	338129
DQ079899	338130
DQ079900	338131
DQ079901	338132
DQ079902	338133
DQ079903	338134
DQ079904	338135
DQ079905	338136
DQ079906	338137
DQ079907	338138
DQ079908	384642
DQ079909	338140
HQ157198	926697
HQ157199	926697
KC237308	1273714
KF044309	1340813
KF044310	1340814
KJ997912	1508658
KM589507	1655655
M14428	10844
NC_001330	10849
NC_001420	374844
NC_001422	374840
NC_001730	10848
NC_001741	2003327
NC_001998	90963
NC_002194	105154
NC_002643	145579
NC_003438	10855
NC_007461	313629
NC_007817	511969
NC_007821	489828
NC_007856	489829
NC_008355	225067
NC_012868	10845
NC_022790	1385658
NC_026665	1609634
NC_027633	1655646
NC_027634	1655647
NC_027636	1655649
NC_027637	1655650
NC_027638	1655651
NC_027639	1655652
NC_027640	1655653
NC_027641	1655654
NC_027642	1655656
NC_027643	1655657
NC_027644	1655658
NC_027645	1655659
NC_027646	1655660
NC_027647	1655661
NC_027648	1655662
NC_028993	1701404
NC_028994	1701405
NC_029012	1655644
NC_029014	1655645
AB609718	947379
AF503408	10682
AP014715	1608311
CP008753	1514988
CP011970	1677909
DQ004855	330395
DQ426904	376820
DQ426905	376821
EU418428	516541
FO818745	1590550
FR823450	990550
FR852584	1028375
GQ303262	663556
HM137666	857277
HM368260	889876
HQ317290	869661
HQ317291	869663
HQ317385	869726
HQ641348	979532
HQ641349	979531
HQ641350	979530
HQ641351	979529
HQ641352	979528
HQ641353	979526
HQ641354	979527
HQ728263	1051674
JF461087	1087480
JF704096	1034134
JF704116	1034132
JF974289	869725
JN204348	1052672
JN255163	1182515
JN699013	1089131
JN699625	1088867
JN797796	1126949
JN797798	1126951
JN849462	1204514
JQ911768	1176426
JX080300	1195076
JX080301	1195077
JX080302	1195081
JX080303	1195078
JX080304	1195079
JX080305	1195080
JX483876	1220604
JX483877	1220605
JX507079	1229761
JX681814	1235712
JX875065	1239385
JX976549	1243183
KC595514	1296658
KC595516	1296660
KC821610	1327973
KC821629	1327999
KC821630	756279
KC821634	756281
KC862296	981430
KF021268	1340769
KF024734	1340835
KF148616	1340809
KF156339	1340811
KF772233	945083
KF981875	1453336
KJ010548	1445811
KJ018210	1458858
KJ019026	1493507
KJ019030	1493507
KJ019033	1493507
KJ019038	1493507
KJ019039	1493507
KJ019055	1493507
KJ019065	1493507
KJ019067	1493507
KJ019068	1493507
KJ019076	1493507
KJ019081	1493507
KJ019084	1493507
KJ019087	1493507
KJ019088	1493507
KJ019114	1493507
KJ019116	1493507
KJ019122	1493507
KJ019135	1493507
KJ019137	1493507
KJ019138	1493507
KJ019153	1493507
KJ019157	1493507
KJ019158	1493507
KJ019163	1493507
KJ094029	1458853
KJ094031	1173765
KJ545483	1476902
KJ572844	1500712
KJ586794	1486397
KJ586795	1486419
KJ591605	1486414
KJ628499	1605379
KM209228	1542131
KM606995	1112578
KM606996	69610
KM606997	697291
KM606998	69612
KM606999	69608
KM607001	134822
KM607002	697289
KM607003	697290
KP137432	1572740
KP137436	1572746
KP137438	1572748
KP143762	1572716
KP340287	1597971
KP340288	1597972
KP687431	1610830
KP687432	1610831
KP861231	1628722
